,threads,keys,operations,searc,insert,time
266,8.0,1000.0,1000.0,0.8,0.2,0.01115
267,8.0,1000.0,1000.0,0.9,0.0,0.007191
268,8.0,1000.0,1000.0,0.9,0.1,0.008103
269,8.0,1000.0,1000.0,1.0,0.0,0.000981
270,12.0,1000.0,1000.0,0.1,0.0,0.00674
271,12.0,1000.0,1000.0,0.1,0.1,0.008442
272,12.0,1000.0,1000.0,0.1,0.2,0.0085
273,12.0,1000.0,1000.0,0.1,0.3,0.009634
274,12.0,1000.0,1000.0,0.1,0.4,0.010315
275,12.0,1000.0,1000.0,0.1,0.5,0.010157
276,12.0,1000.0,1000.0,0.1,0.6,0.01023
277,12.0,1000.0,1000.0,0.1,0.7,0.010375
278,12.0,1000.0,1000.0,0.1,0.8,0.011292
279,12.0,1000.0,1000.0,0.1,0.9,0.011301
280,12.0,1000.0,1000.0,0.2,0.0,0.007692
281,12.0,1000.0,1000.0,0.2,0.1,0.009111
282,12.0,1000.0,1000.0,0.2,0.2,0.009561
283,12.0,1000.0,1000.0,0.2,0.3,0.009768
284,12.0,1000.0,1000.0,0.2,0.4,0.010439
285,12.0,1000.0,1000.0,0.2,0.5,0.01074
286,12.0,1000.0,1000.0,0.2,0.6,0.011974
287,12.0,1000.0,1000.0,0.2,0.7,0.01158
288,12.0,1000.0,1000.0,0.2,0.8,0.010996
289,12.0,1000.0,1000.0,0.3,0.0,0.00759
290,12.0,1000.0,1000.0,0.3,0.1,0.009306
291,12.0,1000.0,1000.0,0.3,0.2,0.009767
292,12.0,1000.0,1000.0,0.3,0.3,0.010975
293,12.0,1000.0,1000.0,0.3,0.4,0.011579
294,12.0,1000.0,1000.0,0.3,0.5,0.011517
295,12.0,1000.0,1000.0,0.3,0.6,0.012147
296,12.0,1000.0,1000.0,0.3,0.7,0.012825
297,12.0,1000.0,1000.0,0.4,0.0,0.008278
298,12.0,1000.0,1000.0,0.4,0.1,0.010313
299,12.0,1000.0,1000.0,0.4,0.2,0.011283
300,12.0,1000.0,1000.0,0.4,0.3,0.011006
301,12.0,1000.0,1000.0,0.4,0.4,0.012227
302,12.0,1000.0,1000.0,0.4,0.5,0.013225
303,12.0,1000.0,1000.0,0.4,0.6,0.013716
304,12.0,1000.0,1000.0,0.5,0.0,0.008892
305,12.0,1000.0,1000.0,0.5,0.1,0.011982
306,12.0,1000.0,1000.0,0.5,0.2,0.01319
307,12.0,1000.0,1000.0,0.5,0.3,0.012528
308,12.0,1000.0,1000.0,0.5,0.4,0.011844
309,12.0,1000.0,1000.0,0.5,0.5,0.01486
310,12.0,1000.0,1000.0,0.6,0.0,0.009726
